#lon      lat      dep  mag  yy   mm dd hh mi ss    rms   gap mdist  nobs  wsum  used evscore gridID TotEventsPerGrid EventID
 -21.2644  64.0553   3.7  0.3 2019 03 19 17 03 26.3  0.030 161   0.7  27   8.7   1  0.000        -9     1 KP201903191703      
 -21.3942  64.0579   2.6  2.5 2019 03 23 11 39 26.3  0.020  59   0.7  84  56.9   1  0.000        -9     1 KP201903231139      
 -21.3977  64.0407   2.0  2.2 2019 03 23 13 48 04.9  0.030  40   1.2  76  49.2   1  0.000        -9     1 KP201903231348      
 -21.2433  64.1049   1.9  1.6 2019 03 28 09 37 23.0  0.060  57   1.2  62  25.9   1  0.000        -9     1 KP201903280937      
 -21.2527  64.1116   5.0  1.5 2019 04 03 09 55 07.9  0.040  64   1.0  47  28.6   1  0.000        -9     1 KP201904030955      
 -21.3496  64.0085   1.9  3.0 2019 04 03 10 01 14.9  0.040  46   0.7  84  43.3   1  0.000        -9     1 KP201904031001      
 -21.2365  64.0472   4.0  2.8 2019 04 05 20 17 18.2  0.030  61   1.5  75  51.2   1  0.000        -9     1 KP201904052017      
 -21.2372  64.0464   4.0  2.3 2019 04 06 15 50 32.4  0.020  61   1.5  79  48.6   1  0.000        -9     1 KP201904061550      
 -21.2391  64.0481   3.5  2.4 2019 04 08 14 02 48.0  0.030  60   1.4  70  45.4   1  0.000        -9     1 KP201904081402      
 -21.4400  64.0081   3.8  0.5 2019 04 11 03 23 45.9  0.020  90   1.2  40  15.9   1  0.000        -9     1 KP201904110323      
 -21.2673  64.1092   5.7  1.9 2019 04 26 06 51 53.7  0.040  74   0.9  69  39.1   1  0.000        -9     1 KP201904260651      
 -21.1779  64.0567   4.9  1.5 2019 04 28 22 31 00.2  0.030 105   2.5  44  29.8   1  0.000        -9     1 KP201904282231      
 -21.3849  64.0462   1.9  1.3 2019 04 29 19 52 39.2  0.030  45   1.0  52  32.1   1  0.000        -9     1 KP201904291952      
 -21.2053  64.0441   3.9  1.9 2019 04 29 20 54 47.7  0.020  80   3.1  69  43.0   1  0.000        -9     1 KP201904292054      
 -21.2367  64.0485   3.4  2.4 2019 05 12 11 58 07.5  0.030  61   1.5  71  34.2   1  0.000        -9     1 KP201905121158      
 -21.3583  63.9976   1.8  0.9 2019 05 16 14 24 29.4  0.030  55   1.8  30  14.6   1  0.000        -9     1 KP201905161424      
 -21.2414  64.1215   4.2  0.8 2019 05 19 14 05 46.9  0.040  95   0.7  46  24.0   1  0.000        -9     1 KP201905191405      
 -21.1879  64.0584   4.5  1.1 2019 05 20 21 05 23.4  0.030  82   2.5  50  27.6   1  0.000        -9     1 KP201905202105      
 -21.1880  64.0578   4.5  1.0 2019 05 21 18 36 06.6  0.030  82   2.6  49  25.6   1  0.000        -9     1 KP201905211836      
 -21.3630  64.0446   2.0  0.4 2019 05 22 05 47 57.1  0.020  71   0.7  29  15.4   1  0.000        -9     1 KP201905220547      
 -21.3446  64.1105   5.0  2.3 2019 05 24 09 00 02.1  0.030  92   2.1  81  52.4   1  0.000        -9     1 KP201905240900      
 -21.3624  64.0031   1.5  2.9 2019 05 24 19 36 00.8  0.040  53   1.3  73  41.1   1  0.000        -9     1 KP201905241936      
 -21.4243  63.9310   5.4  1.1 2019 05 25 11 17 32.8  0.030 147   1.4  68  29.7   1  0.000        -9     1 KP201905251117      
 -21.3405  64.1132   5.2  2.5 2019 05 26 09 55 31.9  0.030  93   2.1  67  42.9   1  0.000        -9     1 KP201905260955      
 -21.3426  64.1126   4.7  1.9 2019 05 26 10 00 16.9  0.030  93   2.2  70  43.5   1  0.000        -9     1 KP201905261000      
 -21.3440  64.1123   4.7  0.8 2019 05 26 10 57 11.7  0.030  93   2.3  51  18.5   1  0.000        -9     1 KP201905261057      
 -21.3444  64.1123   4.6  0.9 2019 05 26 15 42 35.4  0.040  99   2.3  56  29.2   1  0.000        -9     1 KP201905261542      
 -21.1027  63.9411   8.7  1.6 2019 05 27 02 07 24.1  0.060 152   7.9  62  34.1   1  0.000        -9     1 KP201905270207      
 -21.3601  64.0492   2.1  0.6 2019 05 27 08 29 09.4  0.020  74   1.3  29  14.2   1  0.000        -9     1 KP201905270829      
 -21.3421  64.1123   4.8  0.4 2019 05 27 21 22 32.5  0.020 136   2.2  35  16.8   1  0.000        -9     1 KP201905272122      
 -21.2758  64.1083   1.6  0.7 2019 05 31 18 17 14.2  0.040 103   0.8  30  15.2   1  0.000        -9     1 KP201905311817      
 -21.2758  64.1073   1.7  1.1 2019 05 31 18 30 59.7  0.060  77   0.7  56  24.2   1  0.000        -9     1 KP201905311830      
 -21.3603  64.0510   2.2  0.1 2019 06 03 00 08 32.5  0.010  61   1.4  20   9.0   1  0.000        -9     1 KP201906030008      
 -21.2363  64.1213   3.5  1.2 2019 06 03 13 28 36.9  0.040  97   0.6  67  27.2   1  0.000        -9     1 KP201906031328      
 -21.4037  64.0524   2.1  1.1 2019 06 17 16 32 16.4  0.020  97   1.6  35  19.9   1  0.000        -9     1 KP201906171632      
 -21.3934  64.0554   2.0  1.3 2019 06 27 01 51 07.0  0.020  58   1.1  50  27.0   1  0.000        -9     1 KP201906270151      
 -21.3972  64.0509   3.7  0.4 2019 06 30 00 48 48.5  0.010  54   0.0  50  22.0   1  0.000        -9     1 KP201906300048      
 -21.3996  64.0556   2.0  1.4 2019 07 03 20 09 52.5  0.030  62   0.5  71  35.9   1  0.000        -9     1 KP201907032009_1    
 -21.4019  64.0560   2.5  1.7 2019 07 10 19 58 15.0  0.030  62   0.6  81  45.3   1  0.000        -9     1 KP201907101958      
 -21.3853  64.0473   1.9  1.9 2019 07 24 04 41 06.6  0.030  44   0.7  81  45.5   1  0.000        -9     1 KP201907240441      
 -21.3878  63.9303   3.1  2.3 2019 07 25 22 33 52.6  0.040 151   1.9 116  68.7   1  0.000        -9     1 KP201907252233      
 -21.1794  64.0542   4.7  1.8 2019 08 28 02 31 35.9  0.030  87   2.8  72  43.8   1  0.000        -9     1 KP201908280231      
 -21.2737  64.0840   1.2  2.1 2019 09 11 01 15 53.2  0.040  33   0.7  99  47.8   1  0.000        -9     1 KP201909110115      
 -21.1502  64.0602   5.2  3.0 2019 09 11 09 42 46.7  0.030 110   2.2  95  67.9   1  0.000        -9     1 KP201909110942      
 -21.7970  64.1769   2.1  0.1 2019 10 27 05 50 21.6  0.040  77   0.5  22  10.9   1  0.000        -9     1 KP201910270550      
 -21.8006  64.1784   1.7  0.1 2019 10 28 14 55 26.2  0.020  81   0.6  21   9.0   1  0.000        -9     1 KP201910281455      
 -21.2657  64.1106   5.7  1.5 2020 02 04 19 25 29.7  0.040  73   1.0  69  38.8   1  0.000        -9     1 KP202002041925      
