#Stat  Phase QA  err     wgt    traveltime   Picktime                  dist     azi    evID          elon     elat      slon      slat
KA01   P      3  0.20000 0.12500    3.480 2018-11-29T05:26:39.540000Z    7.41 200.6 KP201811290526        -21.3604  64.0052  -21.4136  63.9430
GA02   P      2  0.10000 0.25000    3.940 2018-11-29T05:26:40.000000Z   10.00 357.5 KP201811290526        -21.3604  64.0052  -21.3695  64.0948
VA41   P      3  0.20000 0.12500    4.020 2018-11-29T05:26:40.080000Z    9.80 327.4 KP201811290526        -21.3604  64.0052  -21.4685  64.0792
KOLD   P      3  0.20000 0.12500    4.170 2018-11-29T05:26:40.230000Z   10.45  24.9 KP201811290526        -21.3604  64.0052  -21.2700  64.0902
FA44   P      3  0.20000 0.12500    4.410 2018-11-29T05:26:40.470000Z   11.60  22.3 KP201811290526        -21.3604  64.0052  -21.2701  64.1014
SKEG   P      4  0.40000 0.06250    4.610 2018-11-29T05:26:40.670000Z   11.84  14.7 KP201811290526        -21.3604  64.0052  -21.2988  64.1079
SAN_   P      4  0.40000 0.06250    4.690 2018-11-29T05:26:40.750000Z   11.71 299.0 KP201811290526        -21.3604  64.0052  -21.5701  64.0560
LH40   P      4  0.40000 0.06250    5.520 2018-11-29T05:26:41.580000Z   15.38  82.0 KP201811290526        -21.3604  64.0052  -21.0489  64.0241
SOL_   P      3  0.20000 0.12500    7.440 2018-11-29T05:26:43.500000Z   22.12 112.4 KP201811290526        -21.3604  64.0052  -20.9436  63.9290
KAS_   P      4  0.40000 0.06250    8.630 2018-11-29T05:26:44.690000Z   24.12 274.9 KP201811290526        -21.3604  64.0052  -21.8520  64.0229
LA24   P      1  0.05000 0.50000    1.290 2018-11-29T05:39:07.870000Z    1.13 297.0 KP201811290539        -21.3648  64.0040  -21.3854  64.0086
OH23   P      2  0.10000 0.25000    1.990 2018-11-29T05:39:08.570000Z    2.58  18.2 KP201811290539        -21.3648  64.0040  -21.3483  64.0260
GR43   P      1  0.05000 0.50000    1.740 2018-11-29T05:39:08.320000Z    2.83 292.5 KP201811290539        -21.3648  64.0040  -21.4182  64.0137
UR20   P      2  0.10000 0.25000    2.100 2018-11-29T05:39:08.680000Z    3.20  64.6 KP201811290539        -21.3648  64.0040  -21.3057  64.0163
TH21   P      1  0.05000 0.50000    2.400 2018-11-29T05:39:08.980000Z    3.95 355.0 KP201811290539        -21.3648  64.0040  -21.3718  64.0393
JA25   P      1  0.05000 0.50000    2.380 2018-11-29T05:39:08.960000Z    4.19  14.5 KP201811290539        -21.3648  64.0040  -21.3433  64.0404
LSKA   P      2  0.10000 0.25000    2.440 2018-11-29T05:39:09.020000Z    4.61  43.7 KP201811290539        -21.3648  64.0040  -21.2996  64.0339
HUML   P      1  0.05000 0.50000    2.670 2018-11-29T05:39:09.250000Z    5.50 343.3 KP201811290539        -21.3648  64.0040  -21.3971  64.0513
LA08   P      2  0.10000 0.25000    2.920 2018-11-29T05:39:09.500000Z    5.84 270.7 KP201811290539        -21.3648  64.0040  -21.4842  64.0046
TH04   P      2  0.10000 0.25000    3.000 2018-11-29T05:39:09.580000Z    6.04 108.2 KP201811290539        -21.3648  64.0040  -21.2477  63.9870
TH07   P      1  0.05000 0.50000    3.050 2018-11-29T05:39:09.630000Z    6.81 351.2 KP201811290539        -21.3648  64.0040  -21.3861  64.0644
BL22   P      2  0.10000 0.25000    3.390 2018-11-29T05:39:09.970000Z    6.79 307.1 KP201811290539        -21.3648  64.0040  -21.4756  64.0407
KRIS   P      3  0.20000 0.12500    3.630 2018-11-29T05:39:10.210000Z    7.05 288.6 KP201811290539        -21.3648  64.0040  -21.5015  64.0241
INNS   P      2  0.10000 0.25000    3.390 2018-11-29T05:39:09.970000Z    7.48  14.7 KP201811290539        -21.3648  64.0040  -21.3260  64.0689
BJA_   P      1  0.05000 0.50000    3.370 2018-11-29T05:39:09.950000Z    7.16 154.8 KP201811290539        -21.3648  64.0040  -21.3026  63.9459
GA02   P      3  0.20000 0.12500    3.940 2018-11-29T05:39:10.520000Z   10.12 358.7 KP201811290539        -21.3648  64.0040  -21.3695  64.0948
GR43   P      2  0.10000 0.25000    1.230 2018-11-30T06:40:43.200000Z    0.36 186.3 KP201811300640        -21.4174  64.0169  -21.4182  64.0137
RE09   P      2  0.10000 0.25000    1.720 2018-11-30T06:40:43.690000Z    2.25  67.2 KP201811300640        -21.4174  64.0169  -21.3750  64.0247
LA24   P      1  0.05000 0.50000    1.560 2018-11-30T06:40:43.530000Z    1.82 120.6 KP201811300640        -21.4174  64.0169  -21.3854  64.0086
SVIN   P      2  0.10000 0.25000    2.510 2018-11-30T06:40:44.480000Z    4.66 340.0 KP201811300640        -21.4174  64.0169  -21.4500  64.0562
ME05   P      3  0.20000 0.12500    2.080 2018-11-30T06:40:44.050000Z    3.50 183.4 KP201811300640        -21.4174  64.0169  -21.4216  63.9856
KRIS   P      3  0.20000 0.12500    2.390 2018-11-30T06:40:44.360000Z    4.19 281.1 KP201811300640        -21.4174  64.0169  -21.5015  64.0241
TH07   P      3  0.20000 0.12500    2.710 2018-11-30T06:40:44.680000Z    5.51  16.1 KP201811300640        -21.4174  64.0169  -21.3861  64.0644
UR20   P      2  0.10000 0.25000    2.840 2018-11-30T06:40:44.810000Z    5.46  90.7 KP201811300640        -21.4174  64.0169  -21.3057  64.0163
INNS   P      2  0.10000 0.25000    3.240 2018-11-30T06:40:45.210000Z    7.32  37.6 KP201811300640        -21.4174  64.0169  -21.3260  64.0689
EDA_   P      3  0.20000 0.12500    3.210 2018-11-30T06:40:45.180000Z    7.45  10.7 KP201811300640        -21.4174  64.0169  -21.3891  64.0826
